trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.g,boat.blot.g,fp.g,fp.PCLDM.g,tin.mass.g,tin.dm.g,tin.ash.g,notes
CT3,10-Apr-19,17-Apr-19,7,2,2A,A001,A,microbes,3,1.846,2.0804,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2A,A002,A,microbes,3,1.8467,1.9882,0.4372,0.4888,0.9828,1.0265,0.9908,
CT3,10-Apr-19,17-Apr-19,7,2,2A,A009,A,bug,3,1.7809,1.9914,0.4029,0.4672,1.0224,1.0809,1.0326,bug dead
CT3,10-Apr-19,17-Apr-19,7,2,2A,A010,A,bug,3,1.8516,2.0678,0.3671,0.3798,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0C,A011,A,microbes,3,1.8436,1.9051,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0C,A012,A,microbes,3,1.7675,1.853,0.631,0.6609,0.9727,0.9958,0.9768,
CT3,10-Apr-19,17-Apr-19,7,0,0C,A019,A,bug,3,1.88,2.0799,0.4606,0.5219,0.9846,1.04,0.9921,
CT3,10-Apr-19,17-Apr-19,7,0,0C,A020,A,bug,3,1.7909,1.9703,0.5609,0.6128,0.9816,1.0293,0.9912,"tin, tin.mass, and tin.ash data correspond to ""A021"" on datasheet -- error? Check this later?"
CT3,10-Apr-19,17-Apr-19,7,4,4D,A021,A,microbes,3,1.7193,1.7951,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,4,4D,A022,A,microbes,3,1.7336,1.8091,0.4556,0.4844,1.0147,1.0372,1.0189,
CT3,10-Apr-19,17-Apr-19,7,4,4D,A024,A,bug,3,1.6807,1.8792,0.4806,0.5273,0.9963,1.0456,1.0041,
CT3,10-Apr-19,17-Apr-19,7,4,4D,A029,A,bug,3,1.8967,2.09,0.4755,0.5147,1.1329,1.1765,1.1398,
CT3,10-Apr-19,17-Apr-19,7,3,3D,A031,A,microbes,3,1.7001,1.833,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3D,A032,A,microbes,3,1.7575,1.9293,0.4724,0.5229,1.0321,1.0786,1.0403,
CT3,10-Apr-19,17-Apr-19,7,3,3D,A033,A,bug,3,1.7281,2.0349,0.4741,0.5521,0.9876,1.0622,1.0003,bug dead
CT3,10-Apr-19,17-Apr-19,7,3,3D,A040,A,bug,3,1.6752,1.9597,0.4568,0.5218,0.9702,1.03,0.9804,
CT3,10-Apr-19,17-Apr-19,7,0,0A,A041,A,microbes,3,1.7356,1.8721,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0A,A042,A,microbes,3,1.7511,1.872,0.3879,0.4294,0.9808,1.0098,0.9858,
CT3,10-Apr-19,17-Apr-19,7,0,0A,A049,A,bug,3,1.8348,2.1035,0.3776,0.4605,1.008,1.0832,1.0206,
CT3,10-Apr-19,17-Apr-19,7,0,0A,A050,A,bug,3,1.7739,2.0322,0.452,0.5235,1.1111,1.1727,1.1203,
CT3,10-Apr-19,17-Apr-19,7,0,0D,A051,A,microbes,3,1.8124,1.9334,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0D,A052,A,microbes,3,1.8308,1.9206,0.4363,0.4593,1.1354,1.1514,1.1388,
CT3,10-Apr-19,17-Apr-19,7,0,0D,A059,A,bug,3,1.9006,2.1126,0.5414,0.608,1.0074,1.0708,1.0177,bug dead
CT3,10-Apr-19,17-Apr-19,7,0,0D,A060,A,bug,3,1.7141,1.8998,0.5313,0.5781,1.0677,1.1065,1.0739,
CT3,10-Apr-19,17-Apr-19,7,2,2B,A061,A,microbes,3,1.82,1.9161,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2B,A062,A,microbes,3,1.828,1.902,0.4493,0.5067,1.1007,1.1493,1.1064,
CT3,10-Apr-19,17-Apr-19,7,2,2B,A069,A,bug,3,1.8218,2.0316,0.4235,0.4924,1.0046,1.069,1.015,
CT3,10-Apr-19,17-Apr-19,7,2,2B,A070,A,bug,3,1.7562,1.9606,0.3689,0.3698,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3A,A071,A,microbes,3,1.5928,1.673,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3A,A072,A,microbes,3,1.6737,1.7528,0.4707,0.4966,0.9748,0.997,0.9781,
CT3,10-Apr-19,17-Apr-19,7,3,3A,A079,A,bug,3,1.8688,2.0312,0.4211,0.4773,1.0041,1.0504,1.0135,
CT3,10-Apr-19,17-Apr-19,7,3,3A,A080,A,bug,3,1.8307,2.0138,0.5122,0.5615,1.0151,1.053,1.0208,
CT3,10-Apr-19,17-Apr-19,7,2,2C,A081,A,microbes,3,1.7037,1.7811,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2C,A082,A,microbes,3,1.78,1.8472,0.5178,0.5429,1.116,1.1316,1.1182,
CT3,10-Apr-19,17-Apr-19,7,2,2C,A089,A,bug,3,1.7376,1.9211,0.4339,0.4926,1.1254,1.1805,1.1346,
CT3,10-Apr-19,17-Apr-19,7,2,2C,A090,A,bug,3,1.7976,2.051,0.4955,0.5728,1.0248,1.0936,1.0335,
CT3,10-Apr-19,17-Apr-19,7,1,1A,A091,A,microbes,3,1.655,1.7564,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,1,1A,A092,A,microbes,3,1.7266,1.8509,0.4156,0.4602,0.9818,1.0222,0.9904,
CT3,10-Apr-19,17-Apr-19,7,1,1A,A094,A,bug,3,1.7435,1.9884,0.4202,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,1,1A,A100,A,bug,3,1.7713,1.9826,0.4831,0.5431,1.1082,1.1647,1.1173,
CT3,10-Apr-19,17-Apr-19,7,4,4C,A101,A,microbes,3,1.7106,1.7753,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,4,4C,A102,A,microbes,3,1.7786,1.8324,0.4534,0.479,1.0928,1.1083,1.0953,
CT3,10-Apr-19,17-Apr-19,7,4,4C,A109,A,bug,3,1.8918,2.0701,0.5202,0.5738,0.9969,1.0414,1.0051,bug dead
CT3,10-Apr-19,17-Apr-19,7,4,4C,A110,A,bug,3,1.7454,1.945,0.4292,0.4861,1.141,1.1923,1.1496,bug dead
CT3,10-Apr-19,17-Apr-19,7,1,1B,A111,A,microbes,3,1.6905,1.7479,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,1,1B,A112,A,microbes,3,1.7651,1.8262,0.4309,0.4588,1.1234,1.1455,1.1274,
CT3,10-Apr-19,17-Apr-19,7,1,1B,A119,A,bug,3,1.671,1.842,0.4674,0.5301,0.9964,1.0494,1.0052,
CT3,10-Apr-19,17-Apr-19,7,1,1B,A120,A,bug,3,1.7698,1.9703,0.5074,0.5705,1.0146,1.0685,1.0237,
CT3,10-Apr-19,17-Apr-19,7,1,1C,A121,A,microbes,3,1.8355,1.9319,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,1,1C,A122,A,microbes,3,1.8014,1.8806,0.4953,0.5312,0.9766,1.0028,0.9823,
CT3,10-Apr-19,17-Apr-19,7,1,1C,A129,A,bug,3,1.714,1.9322,0.4457,0.5082,0.9677,1.0237,0.9762,
CT3,10-Apr-19,17-Apr-19,7,1,1C,A130,A,bug,3,1.8735,2.0929,0.4327,0.4923,0.9843,1.0401,0.9934,
CT3,10-Apr-19,17-Apr-19,7,3,3B,A131,A,microbes,3,1.8401,1.9504,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3B,A132,A,microbes,3,1.8008,1.9018,0.4148,0.4527,1.0111,1.0448,1.0172,
CT3,10-Apr-19,17-Apr-19,7,3,3B,A136,A,bug,3,1.737,1.97,0.5103,0.5941,1.0055,1.0804,1.0174,
CT3,10-Apr-19,17-Apr-19,7,3,3B,A140,A,bug,3,1.7333,1.9082,0.5001,0.5539,0.9933,1.0414,1.0006,bug dead
CT3,10-Apr-19,17-Apr-19,7,4,4B,A141,A,microbes,3,1.9351,2.03,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,4,4B,A142,A,microbes,3,1.8339,1.9459,0.5586,0.6003,1.0864,1.118,1.0916,
CT3,10-Apr-19,17-Apr-19,7,4,4B,A146,A,bug,3,1.9272,2.1041,0.4713,0.5466,1.2456,1.2867,1.2512,
CT3,10-Apr-19,17-Apr-19,7,4,4B,A149,A,bug,3,1.8771,2.0556,0.5552,0.6074,1.0218,1.088,1.0333,
CT3,10-Apr-19,17-Apr-19,7,0,0B,A151,A,microbes,3,1.8975,2.0334,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0B,A152,A,microbes,3,1.6559,1.825,0.5081,0.5719,0.9867,1.0461,0.9994,
CT3,10-Apr-19,17-Apr-19,7,0,0B,A159,A,bug,3,1.7589,2.0123,0.5308,0.6134,1.0105,1.0863,1.0209,
CT3,10-Apr-19,17-Apr-19,7,0,0B,A160,A,bug,3,1.8806,2.0848,0.4539,0.5112,1.2547,1.3083,1.2609,
CT3,10-Apr-19,17-Apr-19,7,3,3C,A161,A,microbes,3,1.8326,1.9205,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3C,A162,A,microbes,3,1.8106,1.9176,0.3724,0.4051,0.9982,1.0288,1.0021,
CT3,10-Apr-19,17-Apr-19,7,3,3C,A169,A,bug,3,1.7462,1.9267,0.3972,0.4592,1.0019,1.0582,1.0116,bug dead
CT3,10-Apr-19,17-Apr-19,7,3,3C,A170,A,bug,3,1.7253,1.9342,0.3947,0.4502,1.2511,1.3022,1.2583,bug dead
CT3,10-Apr-19,17-Apr-19,7,4,4A,A171,A,microbes,3,1.7133,1.8007,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,4,4A,A172,A,microbes,3,1.6611,1.7645,0.4546,0.4814,0.9779,1.0024,0.9826,
CT3,10-Apr-19,17-Apr-19,7,4,4A,A178,A,bug,2,1.7451,1.8594,0.6037,0.6503,0.9994,1.0344,1.0058,
CT3,10-Apr-19,17-Apr-19,7,4,4A,A180,A,bug,2,1.7499,1.9308,0.4352,0.5023,1.0375,1.0979,1.0487,bug dead
CT3,10-Apr-19,17-Apr-19,7,2,2D,A181,A,microbes,3,1.7312,1.7994,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2D,A182,A,microbes,3,1.7584,1.8271,0.4792,0.5021,0.967,0.9841,0.9697,
CT3,10-Apr-19,17-Apr-19,7,2,2D,A189,A,bug,3,1.7117,1.9132,0.4458,0.509,1.0211,1.0726,1.0323,bug dead
CT3,10-Apr-19,17-Apr-19,7,2,2D,A190,A,bug,3,1.7362,1.983,0.4619,0.5326,1.0139,1.0768,1.0232,
CT3,10-Apr-19,17-Apr-19,7,1,1D,A191,A,microbes,3,1.75,1.809,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,1,1D,A192,A,microbes,3,1.7593,1.8358,0.5499,0.5774,1.0047,1.0261,1.008,
CT3,10-Apr-19,17-Apr-19,7,1,1D,A199,A,bug,3,1.7856,2.0536,0.526,0.6047,1.0022,1.0773,1.0129,
CT3,10-Apr-19,17-Apr-19,7,1,1D,A200,A,bug,3,1.756,1.9778,0.6365,0.7044,0.9888,1.0494,0.9981,
CT3,10-Apr-19,17-Apr-19,7,2,2A,R001,R,microbes,2,1.8074,1.9334,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2A,R002,R,microbes,2,1.6779,1.8985,0.2516,0.3296,1.2255,1.2992,1.2317,
CT3,10-Apr-19,17-Apr-19,7,2,2A,R009,R,bug,2,1.6387,1.9035,0.3205,0.4118,1.2388,1.3214,1.2427,
CT3,10-Apr-19,17-Apr-19,7,2,2A,R010,R,bug,2,1.7481,2.069,0.3937,0.4054,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0C,R011,R,microbes,2,1.7551,1.8319,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0C,R012,R,microbes,2,1.8363,1.9188,0.5384,0.5794,0.9935,1.0277,0.9968,
CT3,10-Apr-19,17-Apr-19,7,0,0C,R019,R,bug,2,1.8191,2.1415,0.735,0.8561,0.991,1.094,0.9976,
CT3,10-Apr-19,17-Apr-19,7,0,0C,R020,R,bug,2,1.7593,2.0864,0.5336,0.6567,0.9941,1.1083,1.0007,
CT3,10-Apr-19,17-Apr-19,7,4,4D,R021,R,microbes,2,1.8271,1.9998,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,4,4D,R022,R,microbes,2,1.715,1.8466,0.5125,0.5707,0.9929,1.0398,0.9967,
CT3,10-Apr-19,17-Apr-19,7,4,4D,R024,R,bug,2,1.8375,2.2885,0.5599,0.6733,0.9699,1.1066,0.9808,bug dead
CT3,10-Apr-19,17-Apr-19,7,4,4D,R029,R,bug,2,1.8398,2.1265,0.5367,0.6845,1.0017,1.1059,1.0089,bug dead
CT3,10-Apr-19,17-Apr-19,7,3,3D,R031,R,microbes,2,1.6613,1.7727,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3D,R032,R,microbes,2,1.7339,1.8204,0.3384,0.3743,0.9974,1.0282,1.0006,
CT3,10-Apr-19,17-Apr-19,7,3,3D,R036,R,bug,2,1.6971,1.9502,0.4318,0.5158,1.0046,1.0847,1.009,
CT3,10-Apr-19,17-Apr-19,7,3,3D,R040,R,bug,2,1.6708,1.9754,0.434,0.5256,0.973,1.0614,0.9777,
CT3,10-Apr-19,17-Apr-19,7,0,0A,R041,R,microbes,2,1.7037,1.8702,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0A,R042,R,microbes,2,1.8508,1.9958,0.2789,0.3418,1.0224,1.0719,1.0262,
CT3,10-Apr-19,17-Apr-19,7,0,0A,R049,R,bug,2,1.6749,2.0611,0.3377,0.4723,1.1394,1.2627,1.1469,
CT3,10-Apr-19,17-Apr-19,7,0,0A,R050,R,bug,2,1.7976,2.0789,0.4476,0.5492,1.1061,1.1986,1.1117,
CT3,10-Apr-19,17-Apr-19,7,0,0D,R051,R,microbes,2,1.7988,1.8599,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0D,R052,R,microbes,2,1.703,1.7915,0.4108,0.4564,0.9798,1.0147,0.9862,
CT3,10-Apr-19,17-Apr-19,7,0,0D,R059,R,bug,2,1.7136,1.9843,0.4676,0.5896,1.0038,1.0957,1.0101,bug dead
CT3,10-Apr-19,17-Apr-19,7,0,0D,R060,R,bug,2,1.8246,2.1081,0.4715,0.5797,0.9995,1.0976,1.0055,
CT3,10-Apr-19,17-Apr-19,7,2,2B,R061,R,microbes,2,1.7504,1.8699,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2B,R062,R,microbes,2,1.8175,1.9781,0.4113,0.4436,1.0075,1.0285,1.0108,
CT3,10-Apr-19,17-Apr-19,7,2,2B,R069,R,bug,2,1.7127,2.0069,0.5038,0.6009,0.9893,1.0801,0.9957,
CT3,10-Apr-19,17-Apr-19,7,2,2B,R070,R,bug,2,1.7493,2.033,0.4806,0.5705,1.1309,1.2136,1.1368,
CT3,10-Apr-19,17-Apr-19,7,3,3A,R071,R,microbes,2,1.7382,1.8315,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3A,R072,R,microbes,2,1.7022,1.7712,0.4954,0.538,1.097,1.1232,1.0993,
CT3,10-Apr-19,17-Apr-19,7,3,3A,R074,R,bug,2,1.8598,2.1381,0.4227,0.5045,1.2407,1.3378,1.2486,bug dead
CT3,10-Apr-19,17-Apr-19,7,3,3A,R079,R,bug,2,1.7163,1.9089,0.5227,0.6327,1.012,1.0822,1.0157,
CT3,10-Apr-19,17-Apr-19,7,2,2C,R081,R,microbes,2,1.6488,1.7744,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2C,R082,R,microbes,2,1.7546,1.9058,0.5387,0.5999,0.9839,1.037,0.9876,
CT3,10-Apr-19,17-Apr-19,7,2,2C,R089,R,bug,2,1.799,2.0961,0.5751,0.6748,1.0201,1.1148,1.0258,
CT3,10-Apr-19,17-Apr-19,7,2,2C,R090,R,bug,2,1.7188,2.0168,0.4904,0.6087,0.983,1.084,0.9893,
CT3,10-Apr-19,17-Apr-19,7,1,1A,R091,R,microbes,2,1.757,1.8814,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,1,1A,R092,R,microbes,2,1.6402,1.82,0.4493,0.5121,1.0042,1.0621,1.0094,
CT3,10-Apr-19,17-Apr-19,7,1,1A,R099,R,bug,2,1.7849,1.9392,0.4253,0.4895,0.9995,1.0602,1.0035,
CT3,10-Apr-19,17-Apr-19,7,1,1A,R100,R,bug,2,1.7619,1.9438,0.4146,0.4741,1.2568,1.3141,1.2614,
CT3,10-Apr-19,17-Apr-19,7,4,4C,R101,R,microbes,2,1.8061,1.8926,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,4,4C,R102,R,microbes,2,1.8031,1.9081,0.5042,0.5517,0.9953,1.0328,0.999,
CT3,10-Apr-19,17-Apr-19,7,4,4C,R103,R,bug,2,1.849,2.0485,0.408,0.4745,1.0096,1.0726,1.0129,
CT3,10-Apr-19,17-Apr-19,7,4,4C,R105,R,bug,2,1.8239,2.0578,0.5099,0.5993,0.9971,1.0803,1.0032,
CT3,10-Apr-19,17-Apr-19,7,1,1B,R111,R,microbes,2,1.8157,1.9111,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,1,1B,R112,R,microbes,2,1.7209,1.7925,0.4451,0.4796,0.9904,1.0196,0.994,
CT3,10-Apr-19,17-Apr-19,7,1,1B,R119,R,bug,2,1.7357,1.9261,0.4521,0.5182,0.9941,1.054,1.0006,bug dead
CT3,10-Apr-19,17-Apr-19,7,1,1B,R120,R,bug,2,1.647,1.8858,0.4269,0.522,0.9761,1.0596,0.9826,
CT3,10-Apr-19,17-Apr-19,7,1,1C,R121,R,microbes,2,1.7395,1.873,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,1,1C,R122,R,microbes,2,1.6596,1.7614,0.54,0.5932,0.9923,1.0346,0.9999,
CT3,10-Apr-19,17-Apr-19,7,1,1C,R129,R,bug,2,1.5977,1.8793,0.5794,0.6926,1.0097,1.104,1.0163,
CT3,10-Apr-19,17-Apr-19,7,1,1C,R130,R,bug,2,1.7971,2.0948,0.5436,0.667,0.9823,1.0939,0.9897,
CT3,10-Apr-19,17-Apr-19,7,3,3B,R131,R,microbes,2,1.6758,1.7499,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3B,R132,R,microbes,2,1.8446,1.9566,0.5114,0.5556,0.9864,1.0228,0.9888,
CT3,10-Apr-19,17-Apr-19,7,3,3B,R139,R,bug,2,1.867,2.1767,0.5303,0.6431,1.2266,1.3308,1.2332,bug dead
CT3,10-Apr-19,17-Apr-19,7,3,3B,R140,R,bug,2,1.9027,2.1746,0.4681,0.5604,1.2329,1.3167,1.2385,
CT3,10-Apr-19,17-Apr-19,7,4,4B,R141,R,microbes,2,1.7664,1.8569,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,4,4B,R142,R,microbes,2,1.839,1.9172,0.4324,0.4751,1.0735,1.1,1.0759,
CT3,10-Apr-19,17-Apr-19,7,4,4B,R148,R,bug,2,1.7308,2.0216,0.6608,0.7643,0.9808,1.0741,0.987,
CT3,10-Apr-19,17-Apr-19,7,4,4B,R150,R,bug,2,1.8509,2.1175,0.4371,0.5377,0.9782,1.0682,0.9853,bug dead
CT3,10-Apr-19,17-Apr-19,7,0,0B,R151,R,microbes,2,1.7934,2.0062,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0B,R152,R,microbes,2,1.7636,1.8963,0.5001,0.554,1.2488,1.2978,1.2534,
CT3,10-Apr-19,17-Apr-19,7,0,0B,R159,R,bug,2,1.752,2.1699,0.4632,0.6123,1.0168,1.1605,1.0264,
CT3,10-Apr-19,17-Apr-19,7,0,0B,R160,R,bug,2,1.7236,1.9975,0.5232,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3C,R161,R,microbes,2,1.8162,1.9126,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3C,R162,R,microbes,2,1.7192,1.8426,0.4535,0.4976,0.9756,1.0182,0.9796,
CT3,10-Apr-19,17-Apr-19,7,3,3C,R167,R,bug,2,1.7337,2.0039,0.3114,0.4019,0.9987,1.0841,1.0048,bug dead
CT3,10-Apr-19,17-Apr-19,7,3,3C,R168,R,bug,2,1.8855,2.1869,0.3848,0.478,0.9712,1.0621,0.9774,bug dead
CT3,10-Apr-19,17-Apr-19,7,4,4A,R171,R,microbes,2,1.6901,1.8115,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,4,4A,R172,R,microbes,2,1.7884,1.9455,0.4351,0.4926,0.9771,1.0286,0.9805,
CT3,10-Apr-19,17-Apr-19,7,4,4A,R179,R,bug,2,1.634,1.9127,0.6067,0.7211,1.2584,1.3537,1.2652,
CT3,10-Apr-19,17-Apr-19,7,4,4A,R180,R,bug,2,1.7357,2.0185,0.6313,0.73,0.9915,1.0797,0.9986,bug dead
CT3,10-Apr-19,17-Apr-19,7,2,2D,R181,R,microbes,2,1.743,1.8422,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2D,R182,R,microbes,2,1.714,1.8699,0.4386,0.5011,1.0021,1.056,1.0068,
CT3,10-Apr-19,17-Apr-19,7,2,2D,R189,R,bug,2,1.7731,2.0668,0.6179,0.7292,1.005,1.1,1.0114,
CT3,10-Apr-19,17-Apr-19,7,2,2D,R190,R,bug,2,1.8598,2.1641,0.5597,0.6725,0.9846,1.0768,0.9899,
CT3,10-Apr-19,17-Apr-19,7,1,1D,R191,R,microbes,2,1.7148,1.8114,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,1,1D,R192,R,microbes,2,1.7071,1.8264,0.5528,0.6024,1.126,1.168,1.129,
CT3,10-Apr-19,17-Apr-19,7,1,1D,R198,R,bug,2,1.894,2.1484,0.6196,0.7275,0.9741,1.0707,0.9807,
CT3,10-Apr-19,17-Apr-19,7,1,1D,R199,R,bug,2,1.6931,2.136,0.6729,0.7658,0.9863,1.0692,0.9931,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,