Image,Beg.Date,Days.in.expt,Temp TRT,Channel,Chamber,Leaf spp.,Beg.Length.mm,BWP.beg?,Notes
DSC00856,12-Mar-19,36,2,2A,A003,Acer,8.123,N,
DSC00858,12-Mar-19,36,2,2A,A004,Acer,8.219,N,
DSC00859,12-Mar-19,36,2,2A,A005,Acer,7.386,N,
DSC00860,12-Mar-19,36,2,2A,A006,Acer,8.4,N,
DSC00861,12-Mar-19,36,2,2A,A007,Acer,7.404,N,
DSC00862,12-Mar-19,36,2,2A,A008,Acer,9.81,N,
DSC00866,12-Mar-19,36,2,2A,A009,Acer,9.132,N,
DSC00867,12-Mar-19,36,2,2A,A010,Acer,8.945,N,
DSC00868,12-Mar-19,36,2,2A,R003,Rhodo,8.067,N,
DSC00869,12-Mar-19,36,2,2A,R004,Rhodo,8.102,N,
DSC00870,12-Mar-19,36,2,2A,R005,Rhodo,8.278,N,
DSC00871,12-Mar-19,36,2,2A,R006,Rhodo,8.243,N,
DSC00872,12-Mar-19,36,2,2A,R007,Rhodo,7.877,N,
DSC00873,12-Mar-19,36,2,2A,R008,Rhodo,8.687,N,
DSC00874,12-Mar-19,36,2,2A,R009,Rhodo,8.032,N,
DSC00875,12-Mar-19,36,2,2A,R010,Rhodo,8.727,N,
DSC00877,12-Mar-19,36,0,0A,R043,Rhodo,7.981,N,
DSC00878,12-Mar-19,36,0,0A,R044,Rhodo,8.592,N,
DSC00879,12-Mar-19,36,0,0A,R045,Rhodo,8.119,N,
DSC00880,12-Mar-19,36,0,0A,R046,Rhodo,7.555,N,
DSC00881,12-Mar-19,36,0,0A,R047,Rhodo,8.608,N,
DSC00882,12-Mar-19,36,0,0A,R048,Rhodo,7.67,N,
DSC00883,12-Mar-19,36,0,0A,R049,Rhodo,7.991,N,
DSC00884,12-Mar-19,36,0,0A,R050,Rhodo,7.558,N,
DSC00885,12-Mar-19,36,0,0A,A043,Acer,7.886,N ,
DSC00886,12-Mar-19,36,0,0A,A044,Acer,9.041,N,
DSC00887,12-Mar-19,36,0,0A,A045,Acer,8.184,N,
DSC00888,12-Mar-19,36,0,0A,A046,Acer,7.776,N,
DSC00890,12-Mar-19,36,0,0A,A047,Acer,8.376,N,
DSC00891,12-Mar-19,36,0,0A,A048,Acer,8.049,N,
DSC00892,12-Mar-19,36,0,0A,A049,Acer,8.256,N,
DSC00893,12-Mar-19,36,0,0A,A050,Acer,8.022,N,
DSC00894,12-Mar-19,36,2,2B,A063,Acer,8.138,N,
DSC00895,12-Mar-19,36,2,2B,A064,Acer,8.295,N,
DSC00896,12-Mar-19,36,2,2B,A065,Acer,7.407,N,
DSC00897,12-Mar-19,36,2,2B,A066,Acer,9.137,N,
DSC00898,12-Mar-19,36,2,2B,A067,Acer,7.57,N,
DSC00900,12-Mar-19,36,2,2B,A068,Acer,7.876,N,
DSC00901,12-Mar-19,36,2,2B,A069,Acer,8.044,N,
DSC00902,12-Mar-19,36,2,2B,A070,Acer,7.977,N,
DSC00903,12-Mar-19,36,2,2B,R063,Rhodo,7.262,N,
DSC00905,12-Mar-19,36,2,2B,R064,Rhodo,8.099,N,
DSC00906,12-Mar-19,36,2,2B,R065,Rhodo,8.198,N,
DSC00908,12-Mar-19,36,2,2B,R066,Rhodo,8.172,N,
DSC00909,12-Mar-19,36,2,2B,R067,Rhodo,8.355,N,
DSC00910,12-Mar-19,36,2,2B,R068,Rhodo,7.867,N,
DSC00911,12-Mar-19,36,2,2B,R069,Rhodo,8.087,N,
DSC00912,12-Mar-19,36,2,2B,R070,Rhodo,8.579,N,
DSC00913,12-Mar-19,36,0,0C,A013,Acer,7.582,N,
DSC00914,12-Mar-19,36,0,0C,A014,Acer,8.495,N,
DSC00915,12-Mar-19,36,0,0C,A015,Acer,7.581,N,
DSC00916,12-Mar-19,36,0,0C,A016,Acer,7.027,N,
DSC00917,12-Mar-19,36,0,0C,A017,Acer,7.078,N,
DSC00918,12-Mar-19,36,0,0C,A018,Acer,8.053,N,
DSC00919,12-Mar-19,36,0,0C,A019,Acer,8.252,N,
DSC00921,12-Mar-19,36,0,0C,A020,Acer,7.477,N,
DSC00922,12-Mar-19,36,0,0C,R013,Rhodo,8.124,N,
DSC00923,12-Mar-19,36,0,0C,R014,Rhodo,7.618,N,
DSC00924,12-Mar-19,36,0,0C,R015,Rhodo,7.713,N,
DSC00926,12-Mar-19,36,0,0C,R016,Rhodo,7.757,N,
DSC00927,12-Mar-19,36,0,0C,R017,Rhodo,8.638,N,
DSC00928,12-Mar-19,36,0,0C,R018,Rhodo,7.967,N,
DSC00929,12-Mar-19,36,0,0C,R019,Rhodo,7.73,N,
DSC00930,12-Mar-19,36,0,0C,R020,Rhodo,7.676,N ,
DSC00931,12-Mar-19,36,4,4D,A023,Acer,8.378,N,
DSC00932,12-Mar-19,36,4,4D,A024,Acer,7.138,N,
DSC00933,12-Mar-19,36,4,4D,A025,Acer,8.273,N,
DSC00934,12-Mar-19,36,4,4D,A026,Acer,8.081,N,
DSC00936,12-Mar-19,36,4,4D,A027,Acer,7.783,N,
DSC00938,12-Mar-19,36,4,4D,A028,Acer,8.449,N,
DSC00939,12-Mar-19,36,4,4D,A029,Acer,7.745,N,
DSC00940,12-Mar-19,36,4,4D,A030,Acer,7.882,N,
DSC00941,12-Mar-19,36,4,4D,R023,Rhodo,7.582,N,
DSC00942,12-Mar-19,36,4,4D,R024,Rhodo,7.577,N,
DSC00943,12-Mar-19,36,4,4D,R025,Rhodo,8.474,N,
DSC00945,12-Mar-19,36,4,4D,R026,Rhodo,9.308,N,
DSC00946,12-Mar-19,36,4,4D,R027,Rhodo,8.417,N,
DSC00947,12-Mar-19,36,4,4D,R028,Rhodo,8.639,N,
DSC00948,12-Mar-19,36,4,4D,R029,Rhodo,8.27,N,
DSC00950,12-Mar-19,36,4,4D,R030,Rhodo,7.46,N,
DSC00951,12-Mar-19,36,3,3D,A033,Acer,8.869,N,
DSC00952,12-Mar-19,36,3,3D,A034,Acer,8.242,N,
DSC00953,12-Mar-19,36,3,3D,A035,Acer,7.638,N,
DSC00955,12-Mar-19,36,3,3D,A036,Acer,8.402,N,
DSC00957,12-Mar-19,36,3,3D,A037,Acer,7.768,N,
DSC00959,12-Mar-19,36,3,3D,A038,Acer,9.046,N,
DSC00960,12-Mar-19,36,3,3D,A039,Acer,8.803,N,
DSC00961,12-Mar-19,36,3,3D,A040,Acer,7.891,N,
DSC00962,12-Mar-19,36,3,3D,R033,Rhodo,9.172,N,
DSC00963,12-Mar-19,36,3,3D,R034,Rhodo,8.851,N,
DSC00965,12-Mar-19,36,3,3D,R035,Rhodo,8.224,N,
DSC00967,12-Mar-19,36,3,3D,R036,Rhodo,7.986,N,
DSC00968,12-Mar-19,36,3,3D,R037,Rhodo,7.751,N,
DSC00969,12-Mar-19,36,3,3D,R038,Rhodo,7.43,N,
DSC00970,12-Mar-19,36,3,3D,R039,Rhodo,8.127,N,
DSC00971,12-Mar-19,36,3,3D,R040,Rhodo,8.335,N,
DSC00973,12-Mar-19,36,0,0D,A053,Acer,8.532,N,
DSC00976,12-Mar-19,36,0,0D,A054,Acer,7.788,N,
DSC00980,12-Mar-19,36,0,0D,A055,Acer,6.837,N,
DSC00981,12-Mar-19,36,0,0D,A056,Acer,7.022,N,
DSC00982,12-Mar-19,36,0,0D,A057,Acer,8.802,N,
DSC00983,12-Mar-19,36,0,0D,A058,Acer,7.899,N,
DSC00984,12-Mar-19,36,0,0D,A059,Acer,8.717,N,
DSC00987,12-Mar-19,36,0,0D,A060,Acer,8.837,N,
DSC00988,12-Mar-19,36,0,0D,R053,Rhodo,7.968,N,
DSC00989,12-Mar-19,36,0,0D,R054,Rhodo,7.429,N,
DSC00991,12-Mar-19,36,0,0D,R055,Rhodo,8.845,N,
DSC00993,12-Mar-19,36,0,0D,R056,Rhodo,7.955,N,
DSC00996,12-Mar-19,36,0,0D,R057,Rhodo,7.67,N,
DSC00997,12-Mar-19,36,0,0D,R058,Rhodo,8.44,N,
DSC00999,12-Mar-19,36,0,0D,R059,Rhodo,8.17,N,
DSC01001,12-Mar-19,36,0,0D,R060,Rhodo,7.15,N,
DSC01002,12-Mar-19,36,3,3A,A073,Acer,7.802,N,
DSC01003,12-Mar-19,36,3,3A,A074,Acer,8.239,N,
DSC01004,12-Mar-19,36,3,3A,A075,Acer,8.047,N,
DSC01005,12-Mar-19,36,3,3A,A076,Acer,8.628,N,
DSC01006,12-Mar-19,36,3,3A,A077,Acer,8.388,N,
DSC01007,12-Mar-19,36,3,3A,A078,Acer,7.79,N,
DSC01008,12-Mar-19,36,3,3A,A079,Acer,7.877,N,
DSC01009,12-Mar-19,36,3,3A,A080,Acer,8.668,N,
DSC01011,12-Mar-19,36,3,3A,R073,Rhodo,9.309,N,
DSC01013,12-Mar-19,36,3,3A,R074,Rhodo,8.562,N,
DSC01014,12-Mar-19,36,3,3A,R075,Rhodo,7.827,N,
DSC01016,12-Mar-19,36,3,3A,R076,Rhodo,7.94,N,
DSC01017,12-Mar-19,36,3,3A,R077,Rhodo,7.832,N,
DSC01018,12-Mar-19,36,3,3A,R078,Rhodo,8.192,N,
DSC01019,12-Mar-19,36,3,3A,R079,Rhodo,8.012,N,
DSC01020,12-Mar-19,36,3,3A,R080,Rhodo,7.966,N,
DSC01024,12-Mar-19,36,2,2C,A083,Acer,7.791,N,
DSC01025,12-Mar-19,36,2,2C,A084,Acer,7.59,N,
DSC01027,12-Mar-19,36,2,2C,A085,Acer,9.022,N,
DSC01028,12-Mar-19,36,2,2C,A086,Acer,8.583,N,
DSC01029,12-Mar-19,36,2,2C,A087,Acer,8.034,N,
DSC01030,12-Mar-19,36,2,2C,A088,Acer,8.34,N,
DSC01031,12-Mar-19,36,2,2C,A089,Acer,7.777,N,
DSC01033,12-Mar-19,36,2,2C,A090,Acer,8.332,N,
DSC01034,12-Mar-19,36,2,2C,R083,Rhodo,8.758,N,
DSC01035,12-Mar-19,36,2,2C,R084,Rhodo,7.165,N,
DSC01036,12-Mar-19,36,2,2C,R085,Rhodo,8.419,N,
DSC01037,12-Mar-19,36,2,2C,R086,Rhodo,8.061,N,
DSC01038,12-Mar-19,36,2,2C,R087,Rhodo,8.356,N,
DSC01039,12-Mar-19,36,2,2C,R088,Rhodo,7.733,N,
DSC01041,12-Mar-19,36,2,2C,R089,Rhodo,7.801,N,
DSC01042,12-Mar-19,36,2,2C,R090,Rhodo,6.93,N,
DSC01043,12-Mar-19,36,1,1A,A093,Acer,7.538,N,
DSC01044,12-Mar-19,36,1,1A,A094,Acer,7.6,N,
DSC01046,12-Mar-19,36,1,1A,A095,Acer,7.579,N,
DSC01047,12-Mar-19,36,1,1A,A096,Acer,8.772,N,
DSC01049,12-Mar-19,36,1,1A,A097,Acer,7.884,N,
DSC01050,12-Mar-19,36,1,1A,A098,Acer,7.585,N,
DSC01051,12-Mar-19,36,1,1A,A099,Acer,7.402,N,
DSC01052,12-Mar-19,36,1,1A,A100,Acer,8.009,N,
DSC01053,12-Mar-19,36,1,1A,R093,Rhodo,7.402,N,
DSC01054,12-Mar-19,36,1,1A,R094,Rhodo,7.96,N,
DSC01055,12-Mar-19,36,1,1A,R095,Rhodo,7.36,N,
DSC01056,12-Mar-19,36,1,1A,R096,Rhodo,7.975,N,
DSC01059,12-Mar-19,36,1,1A,R097,Rhodo,8.527,N,
DSC01060,12-Mar-19,36,1,1A,R098,Rhodo,7.191,N,
DSC01061,12-Mar-19,36,1,1A,R099,Rhodo,7.504,N,
DSC01062,12-Mar-19,36,1,1A,R100,Rhodo,8.411,N,
DSC01064,12-Mar-19,36,4,4C,A103,Acer,8.578,N,
DSC01065,12-Mar-19,36,4,4C,A104,Acer,8.18,N,
DSC01066,12-Mar-19,36,4,4C,A105,Acer,7.605,N,
DSC01067,12-Mar-19,36,4,4C,A106,Acer,7.88,N,
DSC01069,12-Mar-19,36,4,4C,A107,Acer,7.654,N,
DSC01071,12-Mar-19,36,4,4C,A108,Acer,7.774,N,
DSC01072,12-Mar-19,36,4,4C,A109,Acer,7.827,N,
DSC01073,12-Mar-19,36,4,4C,A110,Acer,8.264,N,
DSC01074,12-Mar-19,36,4,4C,R103,Rhodo,7.312,N,
DSC01075,12-Mar-19,36,4,4C,R104,Rhodo,8.607,N,
DSC01076,12-Mar-19,36,4,4C,R105,Rhodo,7.893,N,
DSC01078,12-Mar-19,36,4,4C,R106,Rhodo,8.338,N,
DSC01079,12-Mar-19,36,4,4C,R107,Rhodo,7.415,N,
DSC01082,12-Mar-19,36,4,4C,R108,Rhodo,8.224,N,
DSC01084,12-Mar-19,36,4,4C,R109,Rhodo,8.043,N,
DSC01086,12-Mar-19,36,4,4C,R110,Rhodo,8.095,N,
DSC01087,12-Mar-19,36,1,1B,A113,Acer,8.594,N,
DSC01088,12-Mar-19,36,1,1B,A114,Acer,7.959,N,
DSC01089,12-Mar-19,36,1,1B,A115,Acer,8.196,N,
DSC01090,12-Mar-19,36,1,1B,A116,Acer,7.908,N,
DSC01092,12-Mar-19,36,1,1B,A117,Acer,9.084,N,
DSC01094,12-Mar-19,36,1,1B,A118,Acer,8.387,N,remeasured 28 Nov 23
DSC01095,12-Mar-19,36,1,1B,A119,Acer,8.457,N,
DSC01096,12-Mar-19,36,1,1B,A120,Acer,7.782,N,
DSC01097,12-Mar-19,36,1,1B,R113,Rhodo,8.1,N,
DSC01099,12-Mar-19,36,1,1B,R114,Rhodo,7.417,N,remeasured 28 Nov 23
DSC01100,12-Mar-19,36,1,1B,R115,Rhodo,8.223,N,
DSC01101,12-Mar-19,36,1,1B,R116,Rhodo,7.718,N,
DSC01102,12-Mar-19,36,1,1B,R117,Rhodo,8.053,N,
DSC01103,12-Mar-19,36,1,1B,R118,Rhodo,7.683,N,
DSC01104,12-Mar-19,36,1,1B,R119,Rhodo,8.541,N,
DSC01106,12-Mar-19,36,1,1B,R120,Rhodo,8.171,N,
DSC01107,12-Mar-19,36,1,1C,A123,Acer,7.384,N,
DSC01108,12-Mar-19,36,1,1C,A124,Acer,8.766,N,
DSC01110,12-Mar-19,36,1,1C,A125,Acer,7.57,N,
DSC01111,12-Mar-19,36,1,1C,A126,Acer,7.516,N,
DSC01113,12-Mar-19,36,1,1C,A127,Acer,8.605,N,
DSC01115,12-Mar-19,36,1,1C,A128,Acer,7.231,N,
DSC01116,12-Mar-19,36,1,1C,A129,Acer,6.9,N,
DSC01118,12-Mar-19,36,1,1C,A130,Acer,6.309,N,
DSC01119,12-Mar-19,36,1,1C,R123,Rhodo,7.592,N,
DSC01120,12-Mar-19,36,1,1C,R124,Rhodo,8.169,N,
DSC01123,12-Mar-19,36,1,1C,R125,Rhodo,8.639,N,
DSC01124,12-Mar-19,36,1,1C,R126,Rhodo,8.265,N,
DSC01126,12-Mar-19,36,1,1C,R127,Rhodo,7.734,N,
DSC01127,12-Mar-19,36,1,1C,R128,Rhodo,8.399,N,
DSC01128,12-Mar-19,36,1,1C,R129,Rhodo,7.366,N,
DSC01130,12-Mar-19,36,1,1C,R130,Rhodo,7.912,N,
DSC01131,12-Mar-19,36,3,3B,A133,Acer,7.869,N,
DSC01132,12-Mar-19,36,3,3B,A134,Acer,7.396,N,
DSC01133,12-Mar-19,36,3,3B,A135,Acer,8.228,N,
DSC01134,12-Mar-19,36,3,3B,A136,Acer,7.819,N,
DSC01137,12-Mar-19,36,3,3B,A137,Acer,7.908,N,
DSC01138,12-Mar-19,36,3,3B,A138,Acer,7.804,N,
DSC01139,12-Mar-19,36,3,3B,A139,Acer,8.298,N,
DSC01140,12-Mar-19,36,3,3B,A140,Acer,7.35,N,
DSC01141,12-Mar-19,36,3,3B,R133,Rhodo,8.231,N,
DSC01142,12-Mar-19,36,3,3B,R134,Rhodo,9.099,N,
DSC01143,12-Mar-19,36,3,3B,R135,Rhodo,8.262,N,
DSC01144,12-Mar-19,36,3,3B,R136,Rhodo,8.065,N,
DSC01146,12-Mar-19,36,3,3B,R137,Rhodo,7.419,N,
DSC01147,12-Mar-19,36,3,3B,R138,Rhodo,7.608,N,
DSC01149,12-Mar-19,36,3,3B,R139,Rhodo,7.441,N,
DSC01150,12-Mar-19,36,3,3B,R140,Rhodo,8.034,N,
DSC01151,12-Mar-19,36,4,4B,A143,Acer,8.097,N,
DSC01152,12-Mar-19,36,4,4B,A144,Acer,7.812,N,
DSC01153,12-Mar-19,36,4,4B,A145,Acer,7.885,N,
DSC01154,12-Mar-19,36,4,4B,A146,Acer,8.016,N,
DSC01155,12-Mar-19,36,4,4B,A147,Acer,8.149,N,
DSC01156,12-Mar-19,36,4,4B,A148,Acer,8.558,N,
DSC01158,12-Mar-19,36,4,4B,A149,Acer,8.09,N,
DSC01159,12-Mar-19,36,4,4B,A150,Acer,9.223,N,
DSC01160,12-Mar-19,36,4,4B,R143,Rhodo,9.375,N,
DSC01161,12-Mar-19,36,4,4B,R144,Rhodo,8.55,N,
DSC01162,12-Mar-19,36,4,4B,R145,Rhodo,NA,NA,photo was cut off mid-abdomen
DSC01163,12-Mar-19,36,4,4B,R146,Rhodo,8.466,N,
DSC01164,12-Mar-19,36,4,4B,R147,Rhodo,9.036,N,
DSC01165,12-Mar-19,36,4,4B,R148,Rhodo,8.483,N,
DSC01166,12-Mar-19,36,4,4B,R149,Rhodo,7.758,N,
DSC01167,12-Mar-19,36,4,4B,R150,Rhodo,8.788,N,
DSC01168,13-Mar-19,35,0,0B,A153,Acer,8.414,N,remeasured 28 Nov 23
DSC01171,13-Mar-19,35,0,0B,A154,Acer,8.339,N,
DSC01173,13-Mar-19,35,0,0B,A155,Acer,9.02,N,
DSC01174,13-Mar-19,35,0,0B,A156,Acer,9.405,N,
DSC01176,13-Mar-19,35,0,0B,A157,Acer,8.953,N,
DSC01179,13-Mar-19,35,0,0B,A158,Acer,8.444,N,
DSC01180,13-Mar-19,35,0,0B,A159,Acer,8.316,N,
DSC01181,13-Mar-19,35,0,0B,A160,Acer,9.255,N,
DSC01183,13-Mar-19,35,0,0B,R153,Rhodo,8.15,N,
DSC01185,13-Mar-19,35,0,0B,R154,Rhodo,8.842,N,
DSC01187,13-Mar-19,35,0,0B,R155,Rhodo,8.455,N,
DSC01188,13-Mar-19,35,0,0B,R156,Rhodo,10.407,N,
DSC01192,13-Mar-19,35,0,0B,R157,Rhodo,9.049,N,
DSC01193,13-Mar-19,35,0,0B,R158,Rhodo,8.902,N,
DSC01194,13-Mar-19,35,0,0B,R159,Rhodo,8.551,N,
DSC01195,13-Mar-19,35,0,0B,R160,Rhodo,8.419,N,
DSC01196,13-Mar-19,35,3,3C,A163,Acer,8.924,N,
DSC01197,13-Mar-19,35,3,3C,A164,Acer,8.629,N,
DSC01198,13-Mar-19,35,3,3C,A165,Acer,9.717,N,
DSC01199,13-Mar-19,35,3,3C,A166,Acer,7.831,N,
DSC01202,13-Mar-19,35,3,3C,A167,Acer,8.097,N,
DSC01203,13-Mar-19,35,3,3C,A168,Acer,8.4,N,
DSC01206,13-Mar-19,35,3,3C,A169,Acer,8.212,N,
DSC01207,13-Mar-19,35,3,3C,A170,Acer,8.674,N,
DSC01208,13-Mar-19,35,3,3C,R163,Rhodo,8.123,N,
DSC01209,13-Mar-19,35,3,3C,R164,Rhodo,9.195,N,
DSC01210,13-Mar-19,35,3,3C,R165,Rhodo,8.581,N,
DSC01212,13-Mar-19,35,3,3C,R166,Rhodo,9.228,N,
DSC01214,13-Mar-19,35,3,3C,R167,Rhodo,8.842,N,
DSC01215,13-Mar-19,35,3,3C,R168,Rhodo,8.908,N,
DSC01216,13-Mar-19,35,3,3C,R169,Rhodo,8.399,N,
DSC01217,13-Mar-19,35,3,3C,R170,Rhodo,9.356,N,
DSC01218,13-Mar-19,35,4,4A,A173,Acer,8.208,N,
DSC01219,13-Mar-19,35,4,4A,A174,Acer,8.194,N,
DSC01221,13-Mar-19,35,4,4A,A175,Acer,8.472,N,
DSC01222,13-Mar-19,35,4,4A,A176,Acer,8.001,N,
DSC01223,13-Mar-19,35,4,4A,A177,Acer,7.753,N,
DSC01224,13-Mar-19,35,4,4A,A178,Acer,7.694,N,
DSC01225,13-Mar-19,35,4,4A,A179,Acer,8.297,N,
DSC01226,13-Mar-19,35,4,4A,A180,Acer,8.399,N,
DSC01227,13-Mar-19,35,4,4A,R173,Rhodo,9.061,N,
DSC01228,13-Mar-19,35,4,4A,R174,Rhodo,8.82,N,
DSC01229,13-Mar-19,35,4,4A,R175,Rhodo,8.108,N,
DSC01231,13-Mar-19,35,4,4A,R176,Rhodo,8.086,N,
DSC01233,13-Mar-19,35,4,4A,R177,Rhodo,8.582,N,
DSC01235,13-Mar-19,35,4,4A,R178,Rhodo,7.53,N,
DSC01237,13-Mar-19,35,4,4A,R179,Rhodo,8.803,N,
DSC01239,13-Mar-19,35,4,4A,R180,Rhodo,7.844,N,
DSC01241,13-Mar-19,35,2,2D,A183,Acer,8.698,N,
DSC01242,13-Mar-19,35,2,2D,A184,Acer,9.995,N,
DSC01243,13-Mar-19,35,2,2D,A185,Acer,8.694,N,
DSC01244,13-Mar-19,35,2,2D,A186,Acer,8.127,N,
DSC01245,13-Mar-19,35,2,2D,A187,Acer,7.969,N,
DSC01246,13-Mar-19,35,2,2D,A188,Acer,8.445,N,
DSC01247,13-Mar-19,35,2,2D,A189,Acer,8.967,N,
DSC01250,13-Mar-19,35,2,2D,A190,Acer,8.428,N,
DSC01252,13-Mar-19,35,2,2D,R183,Rhodo,7.874,N,
DSC01253,13-Mar-19,35,2,2D,R184,Rhodo,8.213,N,
DSC01254,13-Mar-19,35,2,2D,R185,Rhodo,9.749,N,
DSC01256,13-Mar-19,35,2,2D,R186,Rhodo,8.702,N,
DSC01257,13-Mar-19,35,2,2D,R187,Rhodo,7.384,N,
DSC01258,13-Mar-19,35,2,2D,R188,Rhodo,8.817,N,
DSC01259,13-Mar-19,35,2,2D,R189,Rhodo,8.281,N,
DSC01260,13-Mar-19,35,2,2D,R190,Rhodo,7.968,N,
DSC01261,13-Mar-19,35,1,1D,A193,Acer,8.526,N,
DSC01262,13-Mar-19,35,1,1D,A194,Acer,9.04,N,
DSC01263,13-Mar-19,35,1,1D,A195,Acer,7.545,N,
DSC01267,13-Mar-19,35,1,1D,A196,Acer,8.507,N,
DSC01268,13-Mar-19,35,1,1D,A197,Acer,9.078,N,
DSC01269,13-Mar-19,35,1,1D,A198,Acer,8.082,N,
DSC01270,13-Mar-19,35,1,1D,A199,Acer,8.039,N,
DSC01271,13-Mar-19,35,1,1D,A200,Acer,8.368,N,
DSC01272,13-Mar-19,35,1,1D,R193,Rhodo,7.114,N,
DSC01274,13-Mar-19,35,1,1D,R194,Rhodo,8.496,N,
DSC01275,13-Mar-19,35,1,1D,R195,Rhodo,8.07,N,
DSC01276,13-Mar-19,35,1,1D,R196,Rhodo,7.866,N,
DSC01277,13-Mar-19,35,1,1D,R197,Rhodo,8.055,N,
DSC01278,13-Mar-19,35,1,1D,R198,Rhodo,8.419,N,
DSC01280,13-Mar-19,35,1,1D,R199,Rhodo,7.809,N,
DSC01281,13-Mar-19,35,1,1D,R200,Rhodo,8.304,N,