Channel,Temp.TRT,Leaf.spp,BWP,no.BWP,bugs.rem
4D,4,R,0,0,0
4D,4,A,1,1,2
3D,3,R,0,5,5
3D,3,A,0,3,3
3A,3,R,2,3,5
3A,3,A,1,5,6
4C,4,R,0,3,3
4C,4,A,1,1,2
3B,3,R,1,3,4
3B,3,A,1,1,2
4B,4,R,1,2,3
4B,4,A,2,2,4
3C,3,R,0,2,2
3C,3,A,0,0,0
4A,4,R,0,1,1
4A,4,A,0,3,3
2A,2,R,0,6,6
2A,2,A,0,4,4
2B,2,R,0,6,6
2B,2,A,0,4,4
2C,2,R,0,7,7
2C,2,A,0,5,5
2D,2,R,0,6,6
2D,2,A,0,6,6
0A,0,R,0,8,8
0A,0,A,0,8,8
0C,0,R,0,8,8
0C,0,A,0,6,6
0D,0,R,0,6,6
0D,0,A,0,7,7
1B,1,R,1,6,7
1B,1,A,0,8,8
1C,1,R,0,7,7
1C,1,A,0,7,7
0B,0,R,0,8,8
0B,0,A,0,8,8
1A,1,R,0,7,7
1A,1,A,0,6,6
1D,1,R,0,6,6
1D,1,A,0,7,7